episode,reward,total_throughput
800,-2886.0,46
801,-2620.0,49
802,-1923.0,58
803,-2328.0,51
804,-2778.0,46
805,-3458.0,39
806,-2374.0,54
807,-2096.0,46
808,-3136.0,41
809,-2968.0,44
810,-2961.0,37
811,-3111.0,41
812,-2686.0,47
813,-2749.0,42
814,-2543.0,53
815,-2703.0,50
816,-2786.0,50
817,-2296.0,47
818,-3054.0,44
819,-2734.0,47
820,-2694.0,48
821,-2949.0,52
822,-2680.0,46
823,-3103.0,38
824,-2633.0,47
825,-2242.0,55
826,-2591.0,49
827,-2445.0,44
828,-2441.0,47
829,-2876.0,44
830,-2280.0,49
831,-3002.0,41
832,-3243.0,41
833,-2212.0,50
834,-2883.0,41
835,-2233.0,52
836,-2863.0,48
837,-2562.0,50
838,-2622.0,53
839,-3047.0,44
840,-2299.0,48
841,-2426.0,47
842,-3026.0,42
843,-2493.0,55
844,-2649.0,49
845,-3207.0,42
846,-2704.0,45
847,-3040.0,45
848,-2653.0,46
849,-2877.0,45
850,-2523.0,49
851,-2877.0,43
852,-3015.0,39
853,-3101.0,42
854,-2627.0,43
855,-2745.0,49
856,-3252.0,43
857,-3030.0,43
858,-2781.0,41
859,-3145.0,40
860,-2471.0,50
861,-2614.0,48
862,-2776.0,47
863,-2549.0,46
864,-3272.0,37
865,-2657.0,41
866,-2085.0,56
867,-3041.0,44
868,-3484.0,34
869,-2268.0,55
870,-2784.0,48
871,-2993.0,40
872,-3656.0,39
873,-2415.0,49
874,-2804.0,51
875,-2345.0,52
876,-2650.0,45
877,-3007.0,45
878,-2596.0,48
879,-2088.0,55
880,-2551.0,45
881,-2977.0,41
882,-2812.0,46
883,-3164.0,44
884,-2797.0,48
885,-2722.0,51
886,-2836.0,39
887,-2997.0,44
888,-2637.0,48
889,-3192.0,42
890,-2677.0,45
891,-2368.0,45
892,-2275.0,46
893,-2590.0,45
894,-3217.0,41
895,-2095.0,48
896,-2854.0,49
897,-3236.0,42
898,-3158.0,41
899,-2343.0,54
900,-2475.0,48
901,-2741.0,43
902,-2744.0,50
903,-3096.0,40
904,-2849.0,47
905,-2789.0,42
906,-2786.0,44
907,-2330.0,48
908,-2819.0,48
909,-3285.0,38
910,-2646.0,44
911,-3312.0,38
912,-3000.0,41
913,-2836.0,46
914,-2532.0,47
915,-2759.0,45
916,-2092.0,53
917,-2890.0,44
918,-3052.0,37
919,-2397.0,47
920,-3255.0,42
921,-2635.0,46
922,-2990.0,38
923,-2560.0,48
924,-2715.0,44
925,-2599.0,49
926,-2578.0,50
927,-2510.0,52
928,-2596.0,51
929,-2344.0,47
930,-2385.0,50
931,-3193.0,44
932,-2780.0,55
933,-2483.0,44
934,-2966.0,46
935,-3180.0,42
936,-3150.0,39
937,-2702.0,43
938,-2280.0,50
939,-2924.0,46
940,-2371.0,53
941,-2448.0,48
942,-2959.0,49
943,-2694.0,49
944,-2864.0,44
945,-2809.0,42
946,-2574.0,44
947,-2745.0,50
948,-2732.0,42
949,-2419.0,50
950,-3139.0,43
951,-2802.0,47
952,-2581.0,47
953,-2385.0,48
954,-2672.0,55
955,-2017.0,46
956,-3401.0,39
957,-2304.0,50
958,-2508.0,49
959,-3685.0,36
960,-2616.0,46
961,-2638.0,47
962,-2494.0,49
963,-2957.0,47
964,-2789.0,51
965,-2703.0,45
966,-2861.0,42
967,-2484.0,46
968,-2551.0,52
969,-2079.0,53
970,-2696.0,45
971,-2830.0,40
972,-2493.0,51
973,-2924.0,41
974,-2963.0,44
975,-2407.0,48
976,-2612.0,49
977,-3462.0,39
978,-2744.0,46
979,-2303.0,48
980,-3325.0,37
981,-2596.0,47
982,-2684.0,41
983,-2987.0,41
984,-2687.0,50
985,-2589.0,52
986,-2822.0,47
987,-2553.0,51
988,-2881.0,39
989,-3029.0,38
990,-2782.0,40
991,-2617.0,47
992,-2846.0,47
993,-2164.0,54
994,-3429.0,37
995,-2953.0,40
996,-2389.0,45
997,-2941.0,40
998,-2434.0,49
999,-2877.0,46
1000,-2668.0,43
1001,-1985.0,51
1002,-3305.0,41
1003,-2760.0,44
1004,-2673.0,45
1005,-2494.0,48
1006,-2717.0,43
1007,-2862.0,43
1008,-2556.0,47
1009,-2528.0,49
1010,-2235.0,51
1011,-2042.0,52
1012,-2266.0,49
1013,-2510.0,42
1014,-2428.0,46
1015,-2673.0,47
1016,-2750.0,39
1017,-2843.0,45
1018,-2491.0,43
1019,-2854.0,43
1020,-2143.0,47
1021,-2124.0,49
1022,-2620.0,43
1023,-2934.0,41
1024,-2708.0,44
1025,-2470.0,47
1026,-2379.0,53
1027,-2263.0,55
1028,-2953.0,44
1029,-3188.0,40
1030,-2768.0,48
1031,-2242.0,45
1032,-3384.0,39
1033,-2723.0,45
1034,-2356.0,45
