,Rewards,Epsilon
492,72.6,0.615288342
493,87.33333333,0.614683356
494,68.78333333,0.614078975
495,86.06666667,0.613475198
496,73.43333333,0.612872025
497,78.48333333,0.612269454
498,65.75,0.611667486
499,119,0.611066119
500,55.9,0.610465353
501,89.15,0.609865188
502,78.41666667,0.609265623
503,101.4833333,0.608666656
504,76.96666667,0.608068289
505,93.68333333,0.60747052
506,70.68333333,0.606873348
507,66.15,0.606276773
508,80.35,0.605680794
509,84.36666667,0.605085411
510,72.13333333,0.604490623
511,62.4,0.60389643
512,70.06666667,0.60330283
513,84.43333333,0.602709824
514,74.31666667,0.60211741
515,58.16666667,0.601525589
516,75.38333333,0.600934359
517,78.31666667,0.60034372
518,75.7,0.599753671
519,76.93333333,0.599164212
520,69.18333333,0.598575342
521,69.73333333,0.597987061
522,66.98333333,0.597399368
523,56.55,0.596812262
524,83.05,0.596225743
525,59.8,0.595639811
526,58.33333333,0.595054464
527,63.68333333,0.594469702
528,81.38333333,0.593885524
529,87.83333333,0.59330193
530,77.33333333,0.59271892
531,70.48333333,0.592136492
532,94.56666667,0.591554647
533,72.33333333,0.590973383
534,75.91666667,0.5903927
535,59.83333333,0.589812597
536,78.5,0.589233074
537,64.04285714,0.588654131
538,58.16666667,0.588075766
539,58.16666667,0.587497979
540,58.26666667,0.58692077
541,77.06666667,0.586344137
542,74.03333333,0.585768081
543,73.15,0.585192601
544,63.87619048,0.584617696
545,83.45,0.584043366
546,62.13333333,0.583469609
547,65.53333333,0.582896426
548,58.61666667,0.582323816
549,80.06666667,0.581751778
550,68.93333333,0.581180312
551,79.98333333,0.580609417
552,64.95,0.580039093
553,108,0.579469339
554,76.51666667,0.578900154
555,73.86666667,0.578331539
556,72.55,0.577763491
557,67.07619048,0.577196011
558,89.68333333,0.576629099
559,64.51666667,0.576062753
560,90.95,0.575496973
561,71.13333333,0.574931759
562,83.46666667,0.57436711
563,62.83333333,0.573803024
564,93.58333333,0.573239503
565,64.05,0.572676545
566,62.86904762,0.57211415
567,69.26666667,0.571552317
568,61.0452381,0.570991045
569,58.16666667,0.570430335
570,76.15,0.569870184
571,76.86666667,0.569310594
572,62.03333333,0.568751563
573,72.18333333,0.568193091
574,73.78333333,0.567635177
